MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,GROOTHEID_OMSCHRIJVING,WAARNEMINGDATUM,REFERENTIE,NUMERIEKEWAARDE
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:10:00,"6,7"
