MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Temperatuur
Borgharen stuw.,BORGHRSW,25-10-2019,15.0
Borgharen stuw.,BORGHRSW,25-10-2020,14.0
Borgharen stuw.,BORGHRSW,25-11-2020,10.0
Borgharen stuw.,BORGHRSW,25-12-2020,9.0
Borgharen stuw.,BORGHRSW,26-01-2020,6.0
Borgharen stuw.,BORGHRSW,26-02-2019,9.0
Borgharen stuw.,BORGHRSW,26-02-2020,8.0
Borgharen stuw.,BORGHRSW,26-03-2019,10.0
Borgharen stuw.,BORGHRSW,26-03-2020,10.0
Borgharen stuw.,BORGHRSW,26-04-2019,16.0
Borgharen stuw.,BORGHRSW,26-04-2020,17.0
Borgharen stuw.,BORGHRSW,26-05-2019,18.0
Borgharen stuw.,BORGHRSW,26-05-2020,20.0
Borgharen stuw.,BORGHRSW,26-06-2019,25.0
Borgharen stuw.,BORGHRSW,26-06-2020,24.0
Borgharen stuw.,BORGHRSW,26-07-2019,26.0
Borgharen stuw.,BORGHRSW,26-07-2020,22.0
Borgharen stuw.,BORGHRSW,26-08-2019,23.0
Borgharen stuw.,BORGHRSW,26-08-2020,21.2
Borgharen stuw.,BORGHRSW,26-09-2019,18.0
Borgharen stuw.,BORGHRSW,26-09-2020,18.0
Borgharen stuw.,BORGHRSW,26-10-2020,14.0
Borgharen stuw.,BORGHRSW,26-12-2020,8.0
Borgharen stuw.,BORGHRSW,27-01-2019,5.0
Borgharen stuw.,BORGHRSW,27-01-2020,6.0
Borgharen stuw.,BORGHRSW,27-02-2019,9.0
Borgharen stuw.,BORGHRSW,27-03-2019,10.0
Borgharen stuw.,BORGHRSW,27-03-2020,10.0
Borgharen stuw.,BORGHRSW,27-04-2020,18.0
Borgharen stuw.,BORGHRSW,27-05-2019,18.0
Borgharen stuw.,BORGHRSW,27-05-2020,20.0
Borgharen stuw.,BORGHRSW,27-06-2019,25.0
Borgharen stuw.,BORGHRSW,27-06-2020,24.0
Borgharen stuw.,BORGHRSW,27-07-2019,25.0
Borgharen stuw.,BORGHRSW,27-07-2020,22.0
Borgharen stuw.,BORGHRSW,27-08-2019,23.0
Borgharen stuw.,BORGHRSW,27-08-2020,21.0
Borgharen stuw.,BORGHRSW,27-09-2019,18.0
Borgharen stuw.,BORGHRSW,27-12-2019,8.0
Borgharen stuw.,BORGHRSW,28-01-2019,5.0
Borgharen stuw.,BORGHRSW,28-02-2019,9.0
Borgharen stuw.,BORGHRSW,28-02-2020,7.0
Borgharen stuw.,BORGHRSW,28-03-2019,10.0
